run_id,timestamp,task,k,epsilon,delta,survey_year,method,n_runs,sa_initial_temp,sa_cooling_rate,sa_min_temp,sa_max_iterations,sa_iterations_per_temp,selected_states,final_loss,n_total,weight_alpha_SN,weight_alpha_ST,weight_beta_NN,weight_delta_NT,source_file,source_dir
2,2026-02-16 12:26:22,ACSEmployment,5,1.0,1e-05,2018,simulated_annealing,3,1.0,0.98,0.0001,4000,15,"CO,MN,ND,NE,UT",0.1748090371488487,170641,1.0,1.0,0.1,0.5,results/full_20260215/all_federations.csv,full_20260215
0,2026-02-16 14:21:39,ACSEmployment,10,1.0,1e-05,2018,simulated_annealing,1,1.0,0.98,0.0001,4000,15,"CO,LA,MN,NE,NM,OH,RI,SD,WI,WY",0.1766562339421162,398132,1.0,1.0,0.1,0.5,results/full_20260215/all_federations.csv,full_20260215
0,2026-02-06 13:09:40,ACSEmployment,15,0.05,1e-05,2018,simulated_annealing,1,1.0,0.95,0.0001,2500,20,"AK,CO,CT,IA,IL,LA,MA,MN,MS,MT,ND,RI,VT,WI,WY",0.1771134354248511,557081,1.0,1.0,0.1,0.5,results/full_20260206/all_federations.csv,full_20260206
4,2026-02-15 23:20:06,ACSIncome,5,1.0,1e-05,2018,simulated_annealing,5,1.0,0.98,0.0001,4000,15,"AK,CA,CT,MD,RI",0.1274710242406163,257750,1.0,1.0,0.1,0.5,results/full_20260215/all_federations.csv,full_20260215
2,2026-02-16 01:56:30,ACSIncome,10,1.0,1e-05,2018,simulated_annealing,3,1.0,0.98,0.0001,4000,15,"AZ,CA,DE,MA,MD,NH,NJ,NV,OR,VA",0.1374120696356633,445428,1.0,1.0,0.1,0.5,results/full_20260215/all_federations.csv,full_20260215
2,2026-02-16 07:14:08,ACSIncome,15,1.0,1e-05,2018,simulated_annealing,3,1.0,0.98,0.0001,4000,15,"AK,AZ,CA,DE,MD,NH,NJ,NM,NV,OR,RI,SD,VA,VT,WA",0.1518788361320316,471893,1.0,1.0,0.1,0.5,results/full_20260215/all_federations.csv,full_20260215
1,2026-02-17 14:21:13,ACSMobility,5,1.0,1e-05,2018,simulated_annealing,2,1.0,0.98,0.0001,4000,15,"CA,FL,NM,NV,UT",0.2535258866175378,130779,1.0,1.0,0.1,0.5,results/full_20260217/all_federations.csv,full_20260217
0,2026-02-06 15:27:02,ACSMobility,10,0.05,1e-05,2018,simulated_annealing,1,1.0,0.95,0.0001,2500,20,"CA,FL,ID,IL,IN,ME,NM,NY,OH,TX",0.2777003063720527,276493,1.0,1.0,0.1,0.5,results/full_20260206/all_federations.csv,full_20260206
0,2026-02-06 16:12:14,ACSMobility,15,0.05,1e-05,2018,simulated_annealing,1,1.0,0.95,0.0001,2500,20,"AR,CA,FL,ID,IN,KY,ME,NE,NH,NM,NY,OK,OR,SD,VT",0.2811872242841219,215281,1.0,1.0,0.1,0.5,results/full_20260206/all_federations.csv,full_20260206
1,2026-02-17 02:55:06,ACSPublicCoverage,5,1.0,1e-05,2018,simulated_annealing,2,1.0,0.98,0.0001,4000,15,"AR,KY,MO,MS,SC",0.1750678403323298,81855,1.0,1.0,0.1,0.5,results/full_20260215/all_federations.csv,full_20260215
1,2026-02-17 06:49:38,ACSPublicCoverage,10,1.0,1e-05,2018,simulated_annealing,2,1.0,0.98,0.0001,4000,15,"AK,AL,AR,HI,KY,LA,ME,MO,MT,SC",0.1796854669900077,120497,1.0,1.0,0.1,0.5,results/full_20260215/all_federations.csv,full_20260215
0,2026-02-06 14:32:56,ACSPublicCoverage,15,0.05,1e-05,2018,simulated_annealing,1,1.0,0.95,0.0001,2500,20,"AK,AR,CO,KY,MI,MO,MS,MT,NC,NM,OH,PA,SC,WI,WV",0.2137206386042843,296940,1.0,1.0,0.1,0.5,results/full_20260206/all_federations.csv,full_20260206
0,2026-02-14 15:28:27,ACSTravelTime,5,0.05,1e-05,2018,simulated_annealing,1,1.0,0.98,0.0001,4000,15,"CA,FL,HI,NY,SD",0.2816382410576155,362549,1.0,1.0,0.1,0.5,results/full_20260214/all_federations.csv,full_20260214
0,2026-02-14 16:25:13,ACSTravelTime,10,0.05,1e-05,2018,simulated_annealing,1,1.0,0.98,0.0001,4000,15,"AK,CA,CO,FL,IL,MA,MS,ND,NM,NY",0.2950148734968112,500310,1.0,1.0,0.1,0.5,results/full_20260214/all_federations.csv,full_20260214
0,2026-02-12 15:42:06,ACSTravelTime,15,0.05,1e-05,2018,simulated_annealing,1,1.0,0.98,0.0001,4000,15,"CA,CT,FL,GA,IL,MA,MD,MT,NV,NY,VA,VT,WA,WV,WY",0.3048339562268697,644332,1.0,1.0,0.1,0.5,results/full_20260212/all_federations.csv,full_20260212
